angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
15,-70,40,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.594,0.557,0.548,
15,-70,41,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.549,0.455,0.510,
15,-70,42,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.639,0.587,0.549,
15,-70,43,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.643,0.656,0.555,
15,-70,44,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.615,0.701,0.535,
15,-70,45,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.531,0.514,0.539,
15,-70,46,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.657,0.594,0.592,
15,-70,47,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.622,0.604,0.446,
15,-70,48,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.556,0.562,0.578,
15,-70,49,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.559,0.646,0.479,
15,-70,50,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.605,0.574,0.589,
15,-70,51,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.495,0.516,0.540,
15,-70,52,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.665,0.576,0.539,
15,-70,53,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.494,0.547,0.586,
15,-70,54,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.455,0.632,0.625,
15,-70,55,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.537,0.562,0.495,
15,-70,56,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.635,0.576,0.515,
15,-70,57,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.484,0.579,0.541,
15,-70,58,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.599,0.539,0.549,
15,-70,59,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.615,0.557,0.590,
15,-70,60,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.502,0.373,0.565,
15,-70,61,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.558,0.470,0.575,
15,-70,62,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.527,0.609,0.645,
15,-70,63,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.533,0.555,0.597,
15,-70,64,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.569,0.630,0.582,
15,-70,65,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.477,0.561,0.597,
15,-70,66,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.609,0.605,0.469,
15,-70,67,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.552,0.522,0.531,
15,-70,68,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.517,0.696,0.461,
15,-70,69,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.587,0.551,0.601,
15,-70,70,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.466,0.595,0.626,
15,-70,71,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.562,0.498,0.590,
15,-70,72,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.484,0.664,0.733,
15,-70,73,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.575,0.415,0.589,
15,-70,74,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.460,0.444,0.545,
15,-70,75,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.515,0.547,0.635,
15,-70,76,0,0.000,400.000,343.000,,,,0.000,0,20,0,0,0,0,0,0.545,0.585,0.582,
