angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
20,-600,200,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.821,11.978,0.565,
20,-600,210,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.806,10.877,0.548,
20,-600,220,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.359,11.995,0.477,
20,-600,230,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.520,10.825,0.529,
20,-600,240,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.823,12.763,0.545,
20,-600,250,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.273,12.242,0.575,
20,-600,260,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.963,10.629,0.668,
20,-600,270,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.981,10.725,0.561,
20,-600,280,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.950,10.475,0.557,
20,-600,290,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.845,11.353,0.621,
20,-600,300,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.114,9.671,0.487,
20,-600,310,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.361,10.103,0.620,
20,-600,320,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.143,9.824,0.588,
20,-600,330,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.921,11.194,0.504,
20,-600,340,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.103,10.306,0.640,
20,-600,350,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.801,10.794,0.699,
20,-600,360,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.158,9.360,0.562,
20,-600,370,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.269,10.996,0.611,
20,-600,380,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.850,10.185,0.555,
20,-600,390,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.261,9.993,0.563,
20,-600,400,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.598,11.783,0.586,
20,-600,410,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.941,11.543,0.634,
20,-600,420,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.951,10.689,0.516,
20,-600,430,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.634,11.931,0.624,
20,-600,440,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.272,9.483,0.558,
20,-600,450,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.491,12.757,0.605,
20,-600,460,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.112,11.535,0.571,
20,-600,470,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.559,12.694,0.592,
20,-600,480,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.463,11.182,0.465,
20,-600,490,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,14.163,11.446,0.546,
20,-600,500,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.554,10.808,0.581,
20,-600,510,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,13.971,12.118,0.509,
20,-600,520,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.645,12.619,0.629,
20,-600,530,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.043,13.111,0.606,
20,-600,540,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.869,11.483,0.552,
20,-600,550,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.033,9.302,0.579,
20,-600,560,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.280,11.750,0.606,
20,-600,570,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.145,8.666,0.531,
20,-600,580,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.029,11.473,0.504,
20,-600,590,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.007,11.246,0.592,
20,-600,600,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.499,11.943,0.637,
20,-600,610,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.231,10.176,0.624,
20,-600,620,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.535,11.066,0.565,
20,-600,630,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,13.893,11.429,0.517,
20,-600,640,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.846,12.762,0.531,
20,-600,650,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.994,11.302,0.530,
20,-600,660,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.279,10.979,0.551,
20,-600,670,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.636,12.136,0.501,
20,-600,680,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.845,11.688,0.565,
20,-600,690,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.490,10.322,0.567,
20,-600,700,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.587,11.783,0.547,
20,-600,710,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.860,12.471,0.633,
20,-600,720,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.802,11.625,0.545,
20,-600,730,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.173,11.550,0.534,
20,-600,740,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.881,11.583,0.640,
20,-600,750,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.446,12.816,0.598,
20,-600,760,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.031,12.263,0.609,
20,-600,770,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.802,12.518,0.521,
20,-600,780,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.661,10.847,0.631,
20,-600,790,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,8.614,11.003,0.586,
20,-600,800,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.056,10.827,0.572,
20,-600,810,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.811,11.821,0.583,
20,-600,820,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.074,11.605,0.593,
20,-600,830,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.469,10.038,0.608,
20,-600,840,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.006,11.639,0.631,
20,-600,850,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.873,8.574,0.541,
20,-600,860,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.168,10.952,0.555,
20,-600,870,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.325,11.499,0.455,
20,-600,880,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.303,11.209,0.515,
20,-600,890,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.596,11.385,0.602,
20,-600,900,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.135,11.820,0.560,
20,-600,910,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.683,12.222,0.574,
20,-600,920,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.287,9.931,0.573,
20,-600,930,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.856,12.201,0.532,
20,-600,940,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.140,11.548,0.539,
20,-600,950,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.516,10.982,0.577,
20,-600,960,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.400,12.540,0.574,
20,-600,970,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,8.475,10.418,0.614,
20,-600,980,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.366,11.085,0.575,
20,-600,990,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.931,12.268,0.594,
20,-590,200,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.155,13.072,0.560,
20,-590,210,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.308,11.391,0.566,
20,-590,220,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.948,11.426,0.491,
20,-590,230,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.537,12.794,0.598,
20,-590,240,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.608,10.515,0.580,
20,-590,250,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.334,12.096,0.535,
20,-590,260,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.765,10.146,0.544,
20,-590,270,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.169,10.666,0.459,
20,-590,280,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.695,10.344,0.563,
20,-590,290,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.221,11.701,0.596,
20,-590,300,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.103,11.507,0.571,
20,-590,310,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.817,10.951,0.531,
20,-590,320,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.467,11.613,0.543,
20,-590,330,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,13.222,11.485,0.571,
20,-590,340,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.673,11.469,0.541,
20,-590,350,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.745,13.896,0.572,
20,-590,360,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.194,12.153,0.584,
20,-590,370,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.717,11.459,0.588,
20,-590,380,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.220,10.541,0.551,
20,-590,390,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.539,11.998,0.649,
20,-590,400,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.927,12.264,0.539,
20,-590,410,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.906,11.272,0.515,
20,-590,420,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.302,12.904,0.544,
20,-590,430,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.083,11.547,0.580,
20,-590,440,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.950,9.942,0.668,
20,-590,450,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.364,10.752,0.547,
20,-590,460,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.244,11.934,0.488,
20,-590,470,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.195,11.781,0.641,
20,-590,480,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,9.359,10.142,0.503,
20,-590,490,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.922,12.554,0.491,
20,-590,500,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.282,10.850,0.589,
20,-590,510,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.635,11.083,0.515,
20,-590,520,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.885,11.724,0.620,
20,-590,530,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.046,10.659,0.573,
20,-590,540,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.338,12.874,0.559,
20,-590,550,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.328,10.749,0.570,
20,-590,560,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.040,12.720,0.558,
20,-590,570,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,12.771,12.159,0.553,
20,-590,580,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.111,13.085,0.503,
20,-590,590,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.645,11.456,0.598,
20,-590,600,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.875,11.322,0.479,
20,-590,610,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,11.316,11.679,0.615,
20,-590,620,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,10.844,11.153,0.598,
20,-590,630,0,0.000,1879.319,1506.472,,,,0.000,0,30,0,0,0,0,0,13.309,13.229,0.575,
