angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
10,-300,400,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.580,11.550,0.632,
10,-300,405,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.117,11.191,0.520,
10,-300,410,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.503,12.042,0.547,
10,-300,415,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.949,10.386,0.568,
10,-300,420,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.746,10.544,0.587,
10,-300,425,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.532,11.209,0.557,
10,-300,430,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.439,11.339,0.564,
10,-300,435,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.567,11.625,0.649,
10,-300,440,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.875,12.463,0.472,
10,-300,445,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.444,10.154,0.512,
10,-300,450,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,9.342,11.212,0.564,
10,-300,455,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.038,11.524,0.600,
10,-300,460,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.018,11.370,0.628,
10,-300,465,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.077,10.544,0.588,
10,-300,470,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.783,10.456,0.582,
10,-300,475,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.030,11.348,0.592,
10,-300,480,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.667,10.191,0.525,
10,-300,485,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.086,11.228,0.555,
10,-300,490,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.777,11.968,0.604,
10,-300,495,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.249,12.313,0.576,
10,-300,500,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.729,12.247,0.571,
10,-300,505,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.810,11.836,0.538,
10,-300,510,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.846,11.576,0.560,
10,-300,515,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,9.939,12.394,0.634,
10,-300,520,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.133,11.677,0.569,
10,-300,525,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.598,11.557,0.652,
10,-300,530,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.790,11.730,0.644,
10,-300,535,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.279,10.479,0.537,
10,-300,540,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.221,10.533,0.600,
10,-300,545,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.770,11.836,0.622,
10,-300,550,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.955,11.985,0.572,
10,-300,555,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.022,11.883,0.555,
10,-300,560,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.075,10.118,0.635,
10,-300,565,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.603,11.097,0.681,
10,-300,570,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.869,12.131,0.589,
10,-300,575,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.997,10.705,0.580,
10,-300,580,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.883,10.775,0.557,
10,-300,585,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.307,11.785,0.586,
10,-300,590,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.547,11.215,0.582,
10,-300,595,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.400,12.261,0.571,
10,-300,600,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.152,11.957,0.587,
10,-300,605,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.826,10.942,0.583,
10,-300,610,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.559,10.258,0.583,
10,-300,615,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.979,10.970,0.624,
10,-300,620,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.348,10.657,0.579,
10,-300,625,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.320,11.605,0.618,
10,-300,630,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.826,11.171,0.595,
10,-300,635,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.512,9.595,0.619,
10,-300,640,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.179,10.647,0.557,
10,-300,645,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,9.477,11.517,0.616,
10,-300,650,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,9.605,11.463,0.586,
10,-300,655,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.010,11.236,0.584,
10,-300,660,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.006,10.237,0.603,
10,-300,665,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.869,10.992,0.509,
10,-300,670,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.172,11.470,0.574,
10,-300,675,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.169,12.250,0.563,
10,-300,680,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.738,10.995,0.582,
10,-300,685,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.976,11.642,0.509,
10,-300,690,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.407,12.175,0.583,
10,-300,695,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.913,11.943,0.560,
10,-300,700,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.895,10.935,0.591,
10,-300,705,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.385,11.074,0.592,
10,-300,710,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.870,11.241,0.602,
10,-300,715,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.286,11.894,0.601,
10,-300,720,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.086,10.571,0.561,
10,-300,725,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.905,11.992,0.557,
10,-300,730,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.431,10.311,0.574,
10,-300,735,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.563,10.463,0.554,
10,-300,740,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.725,11.765,0.594,
10,-300,745,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.762,11.533,0.595,
10,-300,750,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.159,11.627,0.539,
10,-300,755,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.193,11.241,0.557,
10,-300,760,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.404,11.197,0.631,
10,-300,765,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.096,11.309,0.628,
10,-300,770,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.186,11.577,0.565,
10,-300,775,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.419,13.066,0.559,
10,-300,780,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.466,11.414,0.585,
10,-300,785,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.246,12.026,0.587,
10,-300,790,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.302,12.348,0.570,
10,-300,795,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.754,12.718,0.594,
10,-300,800,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.298,12.143,0.602,
10,-300,805,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,12.267,12.060,0.545,
10,-300,810,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.343,10.607,0.548,
10,-300,815,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.643,10.515,0.560,
10,-300,820,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.184,11.385,0.548,
10,-300,825,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.866,10.175,0.557,
10,-300,830,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.644,12.076,0.612,
10,-300,835,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.590,12.196,0.456,
10,-300,840,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.591,11.165,0.635,
10,-300,845,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.829,11.215,0.546,
10,-300,850,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.947,12.171,0.617,
10,-300,855,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.521,11.289,0.603,
10,-300,860,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.581,12.335,0.575,
10,-300,865,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.375,11.082,0.599,
10,-300,870,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.898,11.967,0.610,
10,-300,875,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,10.734,10.290,0.541,
10,-300,880,0,0.000,1966.852,1493.013,,,,0.000,0,50,0,0,0,0,0,11.446,12.316,0.585,
