angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
10,-200,-100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.852,12.318,0.376,
10,-200,-90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.782,13.693,0.545,
10,-200,-80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.676,10.133,0.520,
10,-200,-70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.389,12.286,0.621,
10,-200,-60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.808,9.141,0.413,
10,-200,-50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.277,12.436,0.528,
10,-200,-40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.300,11.269,0.595,
10,-200,-30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.142,10.131,0.588,
10,-200,-20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.235,9.537,0.585,
10,-200,-10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.836,8.851,0.569,
10,-200,0,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.663,10.735,0.467,
10,-200,10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.780,10.041,0.521,
10,-200,20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.722,12.185,0.426,
10,-200,30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.597,12.649,0.422,
10,-200,40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.199,6.315,0.564,
10,-200,50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.868,11.986,0.465,
10,-200,60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,14.323,10.666,0.449,
10,-200,70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,14.162,11.729,0.541,
10,-200,80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.871,13.545,0.568,
10,-200,90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.318,8.924,0.521,
10,-200,100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.475,10.764,0.556,
10,-200,110,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.327,12.460,0.551,
10,-200,120,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.425,8.716,0.518,
10,-200,130,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.841,10.787,0.467,
10,-200,140,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.142,11.205,0.488,
10,-200,150,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.545,14.041,0.712,
10,-200,160,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.426,11.467,0.434,
10,-200,170,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.974,10.735,0.526,
10,-200,180,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.304,9.270,0.595,
10,-200,190,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.992,13.977,0.698,
10,-200,200,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.147,8.783,0.617,
10,-200,210,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.902,11.467,0.514,
10,-200,220,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.703,10.273,0.455,
10,-200,230,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.927,9.647,0.493,
10,-200,240,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.898,9.340,0.597,
10,-200,250,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.560,11.982,0.545,
10,-200,260,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.177,10.975,0.447,
10,-200,270,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.428,12.291,0.562,
10,-200,280,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.318,11.978,0.506,
10,-200,290,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.824,15.113,0.432,
10,-200,300,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.668,11.459,0.562,
10,-200,310,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.322,9.793,0.544,
10,-200,320,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.202,8.160,0.481,
10,-200,330,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.538,7.355,0.525,
10,-200,340,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.872,11.477,0.567,
10,-200,350,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.285,13.515,0.492,
10,-200,360,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.998,12.088,0.403,
10,-200,370,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.310,8.972,0.373,
10,-200,380,0,0.000,1966.852,1493.013,,,,0.000,0,9,0,0,0,0,1,13.274,13.210,0.427,
10,-200,390,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.272,9.406,0.485,
10,-190,-100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.326,12.983,0.645,
10,-190,-90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.715,9.655,0.615,
10,-190,-80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.162,11.049,0.508,
10,-190,-70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.371,9.502,0.564,
10,-190,-60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.406,10.365,0.461,
10,-190,-50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.080,13.635,0.465,
10,-190,-40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.587,11.294,0.631,
10,-190,-30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.174,12.841,0.601,
10,-190,-20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.206,11.346,0.597,
10,-190,-10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.614,10.524,0.594,
10,-190,0,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.930,12.318,0.489,
10,-190,10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.719,6.750,0.363,
10,-190,20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.864,8.596,0.533,
10,-190,30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.340,9.340,0.557,
10,-190,40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.508,10.574,0.464,
10,-190,50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.690,11.475,0.580,
10,-190,60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.672,13.236,0.632,
10,-190,70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.797,11.580,0.522,
10,-190,80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.969,10.570,0.493,
10,-190,90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.337,10.079,0.467,
10,-190,100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.148,11.183,0.496,
10,-190,110,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.887,9.027,0.616,
10,-190,120,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.089,9.336,0.683,
10,-190,130,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.555,11.038,0.558,
10,-190,140,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.413,13.262,0.577,
10,-190,150,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,5.791,7.435,0.603,
10,-190,160,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,5.881,9.262,0.607,
10,-190,170,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,5.564,9.968,0.647,
10,-190,180,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.591,11.477,0.526,
10,-190,190,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.566,13.491,0.438,
10,-190,200,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.957,6.749,0.210,
10,-190,210,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.591,12.939,0.368,
10,-190,220,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.915,10.217,0.483,
10,-190,230,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.785,13.856,0.492,
10,-190,240,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.696,10.293,0.560,
10,-190,250,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.036,11.050,0.541,
10,-190,260,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.468,11.753,0.431,
10,-190,270,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.683,13.469,0.438,
10,-190,280,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.422,13.041,0.538,
10,-190,290,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.585,8.955,0.643,
10,-190,300,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.413,10.360,0.538,
10,-190,310,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.568,12.169,0.427,
10,-190,320,0,0.000,1966.852,1493.013,,,,0.000,0,9,0,0,0,0,1,11.639,13.417,0.600,
10,-190,330,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.241,10.777,0.386,
10,-190,340,0,0.000,1966.852,1493.013,,,,0.000,0,8,0,0,0,0,2,12.659,11.401,0.562,
10,-190,350,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.031,10.269,0.647,
10,-190,360,0,0.000,1966.852,1493.013,,,,0.000,0,6,0,0,0,0,4,14.092,9.062,0.514,
10,-190,370,0,0.000,1966.852,1493.013,,,,0.000,0,9,0,0,0,0,1,8.294,9.913,0.660,
10,-190,380,0,0.000,1966.852,1493.013,,,,0.000,0,6,0,0,0,0,4,13.276,11.989,0.508,
10,-190,390,0,0.000,1966.852,1493.013,,,,0.000,0,7,0,0,0,0,3,10.483,12.956,0.413,
10,-180,-100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.926,9.604,0.611,
10,-180,-90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.160,12.489,0.746,
10,-180,-80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.904,11.052,0.620,
10,-180,-70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.111,10.024,0.601,
10,-180,-60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.415,8.113,0.428,
10,-180,-50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.611,10.050,0.586,
10,-180,-40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.784,9.080,0.659,
10,-180,-30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.607,12.810,0.555,
10,-180,-20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.440,11.430,0.607,
10,-180,-10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.429,13.382,0.557,
10,-180,0,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.540,11.316,0.292,
10,-180,10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.671,11.608,0.620,
10,-180,20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.382,12.498,0.347,
10,-180,30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.527,10.961,0.579,
10,-180,40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.291,9.917,0.639,
10,-180,50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.208,8.902,0.589,
10,-180,60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.268,9.989,0.653,
10,-180,70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.502,10.053,0.479,
10,-180,80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.148,14.623,0.566,
10,-180,90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.096,10.187,0.587,
10,-180,100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.084,11.228,0.538,
10,-180,110,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.648,12.131,0.562,
10,-180,120,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.626,12.992,0.555,
10,-180,130,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.282,10.206,0.614,
10,-180,140,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.149,10.378,0.378,
10,-180,150,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.082,12.489,0.771,
10,-180,160,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.775,12.383,0.541,
10,-180,170,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.863,13.162,0.447,
10,-180,180,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,14.063,10.581,0.527,
10,-180,190,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.321,5.754,0.628,
10,-180,200,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.563,11.779,0.597,
