angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
10,-100,-10,0,0.000,1966.852,1493.013,,,,0.000,0,2,0,0,0,0,8,13.690,6.973,0.538,
10,-100,-5,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,8.776,10.361,0.495,
10,-100,0,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,5.562,12.810,0.668,
10,-100,5,0,0.000,1966.852,1493.013,,,,0.000,0,1,0,0,0,0,9,13.137,9.077,0.564,
10,-100,10,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.134,13.297,0.621,
10,-100,15,0,0.000,1966.852,1493.013,,,,0.000,0,1,0,0,0,0,9,9.648,11.372,0.466,
10,-100,20,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.869,9.427,0.553,
10,-100,25,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,13.081,12.809,0.570,
10,-100,30,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.239,11.074,0.441,
10,-100,35,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,13.474,14.668,0.542,
10,-100,40,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,13.040,7.252,0.523,
10,-100,45,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.818,10.931,0.541,
10,-100,50,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.176,8.667,0.530,
10,-100,55,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.188,10.171,0.417,
10,-100,60,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.484,11.373,0.579,
10,-100,65,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.327,11.546,0.474,
10,-100,70,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.750,7.666,0.321,
10,-100,75,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,13.428,12.023,0.596,
10,-100,80,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.692,15.003,0.443,
10,-100,85,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,13.396,10.776,0.493,
10,-100,90,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.222,11.540,0.461,
10,-100,95,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.957,8.005,0.611,
10,-100,100,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,8.722,12.654,0.654,
10,-100,105,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.771,12.375,0.492,
10,-100,110,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.876,12.001,0.595,
10,-100,115,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.813,9.493,0.688,
10,-100,120,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.637,12.280,0.538,
