angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
15,-70,40,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.512,0.640,0.599,
15,-70,41,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.590,0.544,0.571,
15,-70,42,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.408,0.566,0.639,
15,-70,43,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.525,0.462,0.588,
15,-70,44,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.592,0.606,0.617,
15,-70,45,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.617,0.643,0.554,
15,-70,46,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.571,0.483,0.392,
15,-70,47,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.629,0.687,0.617,
15,-70,48,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.572,0.534,0.464,
15,-70,49,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.653,0.479,0.576,
15,-70,50,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.555,0.473,0.496,
15,-70,51,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.498,0.554,0.527,
15,-70,52,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.588,0.508,0.624,
15,-70,53,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.622,0.376,0.633,
15,-70,54,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.487,0.634,0.599,
15,-70,55,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.621,0.514,0.411,
15,-70,56,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.583,0.576,0.604,
15,-70,57,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.510,0.649,0.607,
15,-70,58,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.549,0.504,0.498,
15,-70,59,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.633,0.556,0.520,
15,-70,60,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.514,0.523,0.442,
15,-70,61,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.693,0.657,0.554,
15,-70,62,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.503,0.587,0.588,
15,-70,63,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.683,0.423,0.463,
15,-70,64,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.576,0.504,0.524,
15,-70,65,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.662,0.479,0.560,
15,-70,66,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.624,0.449,0.614,
15,-70,67,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.529,0.584,0.579,
15,-70,68,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.672,0.519,0.644,
15,-70,69,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.618,0.545,0.444,
15,-70,70,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.639,0.592,0.580,
15,-70,71,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.629,0.533,0.691,
15,-70,72,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.515,0.633,0.460,
15,-70,73,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.542,0.615,0.579,
15,-70,74,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.500,0.673,0.589,
15,-70,75,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.511,0.617,0.532,
15,-70,76,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.584,0.603,0.581,
15,-70,77,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.542,0.625,0.533,
15,-70,78,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.446,0.627,0.571,
15,-70,79,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.606,0.528,0.540,
15,-70,80,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.637,0.482,0.506,
15,-70,81,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.526,0.494,0.633,
15,-70,82,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.530,0.551,0.514,
15,-70,83,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.527,0.551,0.538,
15,-70,84,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.525,0.546,0.516,
15,-70,85,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.568,0.649,0.533,
15,-70,86,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.482,0.635,0.449,
15,-70,87,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.700,0.562,0.623,
15,-70,88,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.490,0.585,0.382,
15,-70,89,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.510,0.709,0.517,
15,-70,90,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.541,0.534,0.497,
15,-70,91,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.592,0.624,0.546,
15,-70,92,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.508,0.534,0.540,
15,-70,93,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.459,0.536,0.498,
15,-70,94,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.612,0.596,0.449,
15,-70,95,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.512,0.567,0.497,
15,-70,96,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.498,0.596,0.582,
15,-70,97,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.606,0.585,0.506,
15,-70,98,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.580,0.569,0.559,
15,-70,99,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.471,0.621,0.677,
15,-70,100,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.600,0.550,0.560,
15,-70,101,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.616,0.463,0.547,
15,-70,102,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.582,0.633,0.487,
15,-70,103,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.582,0.476,0.642,
15,-70,104,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.582,0.647,0.536,
15,-70,105,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.668,0.580,0.604,
15,-70,106,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.562,0.458,0.504,
15,-70,107,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.384,0.577,0.617,
15,-70,108,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.497,0.570,0.517,
15,-70,109,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.615,0.535,0.719,
15,-69,40,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.594,0.613,0.589,
15,-69,41,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.494,0.642,0.500,
15,-69,42,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.558,0.550,0.524,
15,-69,43,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.634,0.544,0.537,
15,-69,44,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.550,0.603,0.540,
15,-69,45,0,0.000,403.282,450.884,,,,0.000,0,20,0,0,0,0,0,0.509,0.486,0.582,
